,,title,description,skill
ec,119,Introduction to R for Data Science,"This course is part of the <a href=""../../../../microsoft-professional-program-certficate-data-science"">Microsoft Professional Program Certificate in Data Science</em></a>.</p>
R is rapidly becoming the leading language in data science and statistics. Today, R is the tool of choice for data science professionals in every industry and field. Whether you are full-time number cruncher, or just the occasional data analyst, R will suit your needs.</p>
This introduction to R programming course will help you master the basics of R. In seven sections, you will cover its basic syntax, making you ready to undertake your own first data analysis using R. Starting from variables and basic operations, you will eventually learn how to handle data structures such as vectors, matrices, data frames and lists. In the final section, you will dive deeper into the graphical capabilities of R, and create your own stunning data visualizations. No prior knowledge in programming or data science is required.</p>
What makes this course unique is that you will continuously practice your newly acquired skills through interactive in-browser coding challenges using the DataCamp platform. Instead of passively watching videos, you will solve real data problems while receiving instant and personalized feedback that guides you to the correct solution.</p>
Enjoy!<br /><br />edX offers financial assistance for learners who want to earn Verified Certificates but who may not be able to pay the fee. To apply for financial assistance, enroll in the course, then follow <a href=""https://courses.edx.org/financial-assistance/"">this link</a> to complete an application for assistance.</p>",Data Science
ec,120,Analyzing and Visualizing Data with Excel,"This course is part of the <a href=""https://www.edx.org/microsoft-big-data"">Microsoft Professional Program Certificate in Big Data</em></a>, <a href=""../../../../microsoft-professional-program-certficate-data-science"">Microsoft Professional Program Certificate in Data Science</em></a>&nbsp;and <a href=""https://www.edx.org/microsoft-professional-program-data-analysis"" target=""_blank"" rel=""noopener noreferrer"">Microsoft Professional Program in Data Analysis</a>.</p>
Excel is one of the most widely used solutions for analyzing and visualizing data. It now includes tools that enable the analysis of more data, with improved visualizations and more sophisticated business logics. In this data science course, you will get an introduction to the latest versions of these new tools in Excel 2016 from an expert on the Excel Product Team at Microsoft.</p>
Learn how to import data from different sources, create mashups between data sources, and prepare data for analysis. After preparing the data, find out how business calculations can be expressed using the DAX calculation engine. See how the data can be visualized and shared to the Power BI cloud service, after which it can be used in dashboards, queried using plain English sentences, and even consumed on mobile devices.</p>
Do you feel that the contents of this course is a bit too advanced for you and you need to fill some gaps in your Excel knowledge? Do you need a better understanding of how pivot tables, pivot charts and slicers work together, and help in creating dashboards? If so, check out <a href=""https://aka.ms/edx-dat205x-about"" target=""_blank"" rel=""noopener noreferrer"">DAT205x: Introduction to Data Analysis using Excel</a>.</p>
This course is also a part of the <a href=""https://www.edx.org/xseries/microsoft-excel-data-analyst"">Microsoft Excel for the Data Analyst XSeries</a>.<br /><br />edX offers financial assistance for learners who want to earn Verified Certificates but who may not be able to pay the fee. To apply for financial assistance, enroll in the course, then follow <a href=""https://courses.edx.org/financial-assistance/"">this link</a> to complete an application for assistance.</p>",Microsoft Excel
ec,122,Introduction to Python for Data Science,"This course is part of the <a href=""../../../../microsoft-professional-program-certficate-data-science"">Microsoft Professional Program Certificate in Data Science</em></a> and <a href=""https://www.edx.org/microsoft-professional-program-artificial-intelligence"" target=""_blank"" rel=""noopener noreferrer"">Microsoft Professional Program in Artificial Intelligence</a></em>.</p>
Python is a very powerful programming language used for many different applications. Over time, the huge community around this open source language has created quite a few tools to efficiently work with Python. In recent years, a number of tools have been built specifically for data science. As a result, analyzing data with Python has never been easier.</p>
In this practical course, you will start from the very beginning, with basic arithmetic and variables, and learn how to handle data structures, such as Python lists, Numpy arrays, and Pandas DataFrames. Along the way, you&rsquo;ll learn about Python functions and control flow. Plus, you&rsquo;ll look at the world of data visualizations with Python and create your own stunning visualizations based on real data.<br /><br />edX offers financial assistance for learners who want to earn Verified Certificates but who may not be able to pay the fee. To apply for financial assistance, enroll in the course, then follow <a href=""https://courses.edx.org/financial-assistance/"">this link</a> to complete an application for assistance.</p>",Data Science
ec,125,Introduction to Bootstrap - A Tutorial,"Bootstrap is an open source project originally created by Twitter to enable creation of responsive, mobile first web pages. Bootstrap has a standard set of classes that allow developers to quickly create applications that scale to devices of all sizes, and incorporate common components such as dialog boxes and validation. Bootstrap has become a de facto standard for web design.</p>
This course is designed to be a primer on Bootstrap. By the end of the three modules you will have gained the knowledge to create pages common to all web applications, and implement the most frequently used components and classes provided by Bootstrap. You will also see how to use the tooling provided by Visual Studio to assist you in creating pages as quickly as possible.</p>",JavaScript
ec,126,Introduction to jQuery,"jQuery is the most popular library for JavaScript. In this course, you will learn how to use jQuery to add additional power and interactivity to your web pages. You&rsquo;ll see how to take advantage of jQuery in your web pages, how to work with the HTML document, and even make server-side calls.</p>
Using jQuery, the JavaScript programmer has access to many of the powerful tools common to desktop and mobile developers use, like building event handlers and using effects for a responsive UI, the ability to manipulate your user interface without having to refresh the entire page, and creating asynchronous calls to keep your web application responsive. With jQuery, you&rsquo;ll be able to take your web pages to the next level!</p>",JavaScript
ec,127,Introduction to C++,"C++ is a general purpose programming language that supports various computer programming models such as object-oriented programming and generic programming. It was created by Bjarne Stroustrup and, “Its main purpose was to make writing good programs easier and more pleasant for the individual programmer.”*</p>
By learning C++, you can create applications that will run on a wide variety of hardware platforms such as personal computers running Windows, Linux, UNIX, and Mac OS X, as well as small form factor hardware such as IoT devices like the Raspberry PI and Arduino–based boards.</p>
(Bjarne Stroustrup, The C++ Programming Language, Third Edition. Reading, MA: Addison-Wesley, 1997).</p>",C++
ec,128,DevOps for Developers: How to Get Started,"DevOps is the union of people, process and products to enable the continuous delivery of value to end users. It aims to create a culture and environment where building, testing, and releasing software can happen rapidly, frequently, and more reliably, so you can innovate like a startup and scale for the enterprise. By taking this introductory DevOps course, you&rsquo;ll be able to define DevOps, understand why you need DevOps, and learn how you can get started with DevOps. You&rsquo;ll learn the key ideas and techniques to bring development and operations together to produce higher-quality software and deliver it more quickly.",DevOps
ec,130,Statistical Thinking for Data Science and Analytics,"This statistics and data analysis course will pave the statistical foundation for our discussion on data science.</p>
You will learn how data scientists exercise statistical thinking in designing data collection, derive insights from visualizing data, obtain supporting evidence for data-based decisions and construct models for predicting future trends from data.</p>",Data Science
ec,131,Data Science Ethics,"As patients, we care about the privacy of our medical record; but as patients, we also wish to benefit from the analysis of data in medical records. As citizens, we want a fair trial before being punished for a crime; but as citizens, we want to stop terrorists before they attack us. As decision-makers, we value the advice we get from data-driven algorithms; but as decision-makers, we also worry about unintended bias. Many data scientists learn the tools of the trade and get down to work right away, without appreciating the possible consequences of their work.</p>
This course focused on ethics specifically related to data science will provide you with the framework to analyze these concerns. This framework is based on ethics, which are shared values that help differentiate right from wrong. Ethics are not law, but they are usually the basis for laws.</p>
Everyone, including data scientists, will benefit from this course. No previous knowledge is needed.</p>",Data Science
ec,132,Machine Learning for Data Science and Analytics,"Machine Learning is a growing field that is used when searching the web, placing ads, credit scoring, stock trading and for many other applications.</p>
This data science course is an introduction to machine learning and algorithms. You will develop a basic understanding of the principles of machine learning and derive practical solutions using predictive analytics. We will also examine why algorithms play an essential role in Big Data analysis.</p>",Data Science
ec,133,Enabling Technologies for Data Science and Analytics: The Internet of Things,"The Internet of Things is rapidly growing. It is predicted that more than 25 billion devices will be connected by 2020.</p>
In this data science course, you will learn about the major components of the Internet of Things and how data is acquired from sensors. You will also examine ways of analyzing event data, sentiment analysis, facial recognition software and how data generated from devices can be used to make decisions.</p>",Internet of Things (IoT)
ec,136,"Fundamentals of Digital Marketing, Social Media, and E-Commerce","Marketing excellence is a prerequisite for success in any business, from startups to the world&rsquo;s most established enterprises, yet the art and science of marketing is constantly evolving. Arm yourself with the essential principles and practices of marketing in the digital economy by making this course, taught by Internet consumer shopping expert and Wharton professor David Bell, an indispensable part of your knowledge base.</p>
In this business and management course, you will gain an understanding of how the digital economy works and develop the critical insights necessary to succeed in e-commerce and digital and social media marketing.</p>
The fixed and mobile Internet and related technologies exert a profound influence on how business and social institutions evolve, how they are challenged&mdash;and sometimes, even displaced. Companies that were non-existent a few short years ago, including Facebook, LinkedIn, and Uber, have dramatically changed how we interact, communicate and get from point A to B. Even Amazon and Google are relatively &ldquo;young&rdquo; by any measure. If you&rsquo;re an entrepreneur, investor, manager, or student, you need thoughtful approaches to navigate and win in this new environment.</p>
This course is organized around four broad themes and we will use relevant theory and analysis, as well as numerous practical examples to develop our key learning points.</p>
The themes are:</p>
<ul>
<li>Behavioral foundations for understanding and navigating the new online-offline landscape</li>
<li>New forms of interaction, including formation of networks and reputation building</li>
<li>Tools and principles of digital marketing action including online advertising on fixed and mobile devices</li>
<li>New media platforms and emergence of &ldquo;organic&rdquo; celebrities and communities</li>
</ul>
This course is beneficial to marketing professionals, analysts, entrepreneurs, small business owners, investors, and consumers This course evolved from the University of Pennsylvania&rsquo;s Wharton School&rsquo;s very first course on digital marketing and e-commerce.</p>
This course is part of Wharton's Digital Marketing Professional Certificate. For more information, <a href=""https://www.edx.org/digital-marketing-professional"">see here</a>.</em></p>",Social Media
ec,146,English Composition,"This course is part of <a href=""https://www.edx.org/es/gfa"">Global Freshman Academy (GFA)</a>, which means you can earn transferable ASU credit toward your college degree.</p>
Language, and the ability to communicate effectively are critical skills in the global economy. Writing and composition are vital to communicating your ideas clearly.</p>
This introductory writing course will help you develop and express ideas effectively for a variety of purposes, audiences and occasions.</p>
During the course, you will complete several major written projects, along with a reflection for each project. For each project, you can decide what level of technology you wish to use.</p>
If you wish to earn university credit for the course we will ask you to complete a portfolio in which you demonstrate what you have learned. Specifically, you will address what you have learned in the course and provide evidence that you have acquired the skills and knowledge taught during the course. This is a 3-credit hour course at Arizona State University (ENG 101 First-Year Composition). It is strongly encouraged that you consult with your institution of choice to determine how these credits will be applied to their degree requirements prior to transferring the credit.</p>",English
ec,151,Solar Energy,"In the third edition of Solar Energy, you will learn to design a complete photovoltaic system. This course introduces the technology that converts solar energy into electricity, heat and solar fuels with a main focus on electricity generation. Photovoltaic (PV) devices are presented as advanced semiconductor devices that deliver electricity directly from sunlight. The emphasis is on understanding the working principle of a solar cell, fabrication of solar cells, PV module construction and the design of a PV system. You will gain a greater understanding of the principles of the photovoltaic conversion&mdash; the conversion of light into electricity. This course explores the advantages, limitations and challenges of different solar cell technologies, such as crystalline silicon solar cell technology, thin film solar cell technologies and the latest novel solar cell concepts as studied on lab-scale. We will discuss the specifications of solar modules and demonstrate how to design a complete solar system for any particular application.</p>
Education Method</strong></p>
The class will consist of a collection of eight to twelve minute lecture videos, exercises, assignments and exams. Specified assignments and the three exams will determine the final grade. The new textbook on &ldquo;Solar Energy, basics, technology and systems&rdquo; from the Delft University of Technology will be available for the students on-line and free of charge. Your course staff will encourage and challenge you to learn from, and interact with, your fellow students by helping each other and sharing ideas and best practices, in the course forum. We were happy to see the incredible number of interesting student videos on solar energy systems from all over the world in the previous edition of this course.</p>
Professor Smets was the first ever recipient of the edX Prize for Exceptional Contributions to Online Teaching and Learning. His previous online courses attracted over 150,000 students worldwide, who were inspired to take their first steps in the transition to renewable energy.&nbsp;</p>
<hr />
LICENSE</strong></em></p>
The course materials of this course are Copyright Delft University of Technology and are licensed under a Creative Commons Attribution-NonCommercial-ShareAlike (CC-BY-NC-SA) 4.0 International License.</em></p>",Solar Energy
ec,156,Principles of Economics with Calculus,"This course provides a quantitative and model-based introduction to basic economic principles, and teaches how to apply them to make sense of a wide range of real world problems. Examples of applications include predicting the impact of technological changes in market prices, calculating the optimal gasoline tax, and measuring the value of new products. This is a real Caltech class. It will be taught concurrently to Caltech and on-line students. This has two implications. On the costs side: the class is challenging, makes extensive use of calculus, and will demand significant effort. On the benefit side: successful completion of the class will provide you with an in-depth understanding of basic economics, and will permanently change the way you see the world.",Economics
ec,161,Accountant in Business,"Don&rsquo;t have a business background but want to understand how people and systems of an organisation interact with the world and each other?</p>
This business and finance course will help you understand business in the context of its environment, including economic, legal, and regulatory influences on such aspects as governance, employment, health and safety, data protection and security.</p>
Upon the completion of the course, you will understand:</p>
<ul>
<li>The purpose and types of businesses and more about how the external environment impact them</li>
<li>Business organisation structure, functions and the role of corporate governance</li>
<li>How accountancy and audit support effective financial management and communication</li>
<li>Leadership and how people are developed within businesses</li>
<li>What makes for a high performing team</li>
<li>The vital role of professional ethics and professional values in all aspects of business</li>
</ul>
Completion of this course will also prepare you for the ACCA &lsquo;Accountant in Business (AB)/FAB&rsquo; exam, which&nbsp;leads to&nbsp;a Diploma in Accounting and Business.</p>
To check availability of this course in your country please click <a href=""http://www.acca-x.com/global/en/courses/diploma-financial-and-management-accounting-courses.html"">here</a>.</p>
<b>This course does not offer an edX certificate.&nbsp;</b></p>
Those learners who would like to earn an award will have the opportunity to register with ACCA as a student, take computer based exams and gain the ACCA Diploma in Accounting and Business.</p>
You can find your nearest ACCA exam centre on the <a href=""http://www.accaglobal.com/uk/en/student/exam-entry-and-administration/computer-based-exams.html"">ACCA</a> website.</p>",Accounting
ec,167,Financial Accounting,"This course introduces the principles of financial accounting, and will allow learners to demonstrate technical proficiency in the use of double-entry techniques, including the preparation and interpretation of basic financial statements for sole traders, partnerships and companies. You will also learn how to:</p>
<ul>
<li>Record, process and report business transactions</li>
<li>Use the trial balance and identify and correct errors</li>
<li>Draft financial statements</li>
<li>Understand the qualitative characteristics of useful information</li>
</ul>
Completion of this course will also prepare you for the ACCA &lsquo;Financial Accounting (FA)/FFA&rsquo; exam, which&nbsp;leads to&nbsp;a Diploma in Accounting and Business.</p>
To check availability of this course in your country please click <a href=""http://www.acca-x.com/global/en/courses/diploma-financial-and-management-accounting-courses.html"">here</a>. <br /><br /><b>This course does not offer an edX certificate.</b> <br /><br />Those learners who would like to earn an award will have the opportunity to register with ACCA as a student, take computer based exams and gain the ACCA Diploma in Accounting and Business.</p>
You can find your nearest ACCA exam centre on the <a href=""http://www.accaglobal.com/uk/en/student/exam-entry-and-administration/computer-based-exams.html"">ACCA website</a>.</p>",Accounting
ec,168,Sustainable Food Security: The value of systems thinking,"Systems thinking and environmental sustainability: solve the Rubik&rsquo;s cube</strong></p>
Have you ever considered how many aspects of food production affect the natural environment? Every aspect needs to be considered in attaining the future goal to produce enough food for the growing population while at the same time preserving our planet. It&rsquo;s as difficult as solving a Rubik&rsquo;s cube; changing one aspect may affect the environment in a major way.</p>
Systems theory, or systems thinking, is a way of understanding and working with the complexity of sustainable food production systems, which requires training in different disciplines and an approach that can address this complexity. This environmental studies course enables participants to apply the principles of a systems approach to food production with a focus on environmental sustainability.</p>
The professors at Wageningen University </strong></p>
The University of Wageningen offers an excellent combination of conducting research worldwide and educating in the area of &lsquo;healthy food and living environment&rsquo;. For each course, professors from specific fields of expertise are eager to teach and share the University&rsquo;s mission: &ldquo;Explore the potential of nature to improve the quality of life&rdquo;.</p>
This is why you should sign up </strong></p>
Sign up as a student if you want to acquire knowledge about environmental sustainability and the way systems thinking helps in decision-making in the complexity of food production. After successful completion of both practice and graded assignments related to this course, you will:</p>
<ul>
<li>Understand the complexity and diversity of food production systems</li>
<li>Understand the principles of system analysis and apply it to environmental issues in food production</li>
<li>Understand evaluation methods for the environmental impact of food production systems in different contexts and levels (e.g. farm, regional and global) Be able to evaluate strong and weak points of different food production systems regarding environmental sustainability</li>
<li>Be able to contribute to a discussion about environmental sustainability and food production and ask relevant questions</li>
</ul>",Food Security
ec,177,Sustainable Food Security: Crop Production,"Crop production: learn about agriculture and food production for the future</strong></p>
How much food will be available for humankind in the future? Feeding nine billion people in 2050 without exhausting the planetary reserves is perhaps the greatest challenge humanity has ever faced.</p>
In this course of the XSeries in environmental studies, you will examine the principles of crop production. You will learn about the ‘availability pillar’ of global food security that lies at the heart of food production, applicable to both crops and animal production. This course will discuss why yields in some parts of the world are lagging behind and identify the agro-ecological drivers that shape the broad diversity of production systems. Also, key issues relating to the closing of yield gaps and the difference in visions of sustainability will be explored.</p>
Systems-based approach at Wageningen University </strong></p>
The University of Wageningen offers an excellent combination of conducting research worldwide and educating in the area of ‘healthy food and living environment’. Through its unique systems-based approach to food systems, the institute adds the phase of primary production to the broad context of global food security.</p>
This is why you should sign up </strong></p>
If you want to enrich your views and action perspectives related to global food security and food systems, you can sign up as a:</p>
<ul>
<li>international student</li>
<li>professional with a varied educational background</li>
</ul>
After successful completion of both practice and graded questions related to this course, you will:</p>
<ul>
<li>Understand the basic concept of plant production</li>
<li>Be able to value central issues related to global food production and consumption</li>
<li>Understand the influences of water scarcity and water availability on crop production, as well as measures suppressing pests, diseases, and weeds</li>
<li>Be able to identify processes that cause significant environmental problems and evaluate measures to solve and prevent those problems be able to judge innovations in food crop production on their merits for the rural population in the different geographical regions</li>
</ul>
A verified edX certificate provides proof for an employer, school, or other institution that you have successfully completed this online course.</p>",Food Security
ec,181,Leaders of Learning,"All of us carry explicit or implicit theories of learning. They manifest themselves in the ways we learn, the ways we teach, and the ways we think about leadership and learning.</p>
In Leaders of Learning, you will identify and develop your personal theory of learning, and explore how it fits into the shifting landscape of learning. This isn&rsquo;t just about schools, it&rsquo;s about the broader and bigger world of learning.</p>
The education sector is undergoing great transformation, and in the coming decades will continue to change. How we learn, what we learn, where we learn, and why we learn; all these questions will be reexamined. In Leaders of Learning we will explore learning, leadership, organizational structure, and physical design.</p>
<hr />
HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. HarvardX will take appropriate corrective action in response to violations of the <a title=""Follow link"" href=""https://www.edx.org/edx-terms-service"">edX honor code</a>, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.</p>
HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our <a title=""Follow link"" href=""http://harvardx.harvard.edu/research-statement"">research statement </a>to learn more.</p>
Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact <a href=""mailto:harvardx@harvard.edu"">harvardx@harvard.edu</a> and/or <a title=""Follow link"" href=""https://www.edx.org/contact-us"">report your experience through the edX contact form</a>.</p>",Leadership
ec,196,HTML5 and CSS Fundamentals,"This course is part of <a href=""https://www.edx.org/professional-certificate/front-end-web-developer-9"">W3C's ""Front-End Web Developer"" Professional Certificate</a>.</p>
<img src=""https://www.edx.org/sites/default/files/styles/large/public/microsoft_logo.png?itok=dqH27Z7m"" alt="""" /></p>
Learn the basics of Web design and style to give your Web sites a professional look and feel.The Microsoft team and experts from the World Wide Web Consortium (W3C) will guide you step-by-step in how to use the latest Web standards to create a site to be proud of.</p>
During the course, you will learn the basic building blocks of Web design and style &ndash; HTML5 and CSS &ndash; to give your site a professional look and feel.</p>
By the end of the course, you should understand all the fundamental elements &ndash; from headers and links to images and sidebars &ndash; and leave having built a basic framework for your own Web site.</p>
This course has been initially developed by Dale A. Schouten, Anusha Muthiah and Christopher Perkins, as part of a partnership between W3C and Intel&reg;.</em></p>",HTML5
ec,197,HTML5 Coding Essentials and Best Practices,"HTML5 is the standard language of the Web, developed by W3C. For application developers and industry, HTML5 represents a set of features that people will be able to rely on for years to come. HTML5 is supported on a wide variety of devices, lowering the cost of creating rich applications to reach users everywhere.</p>
Whatever mobile phones, connected objects, game consoles, automobile dashboards, and devices that haven&rsquo;t even been considered yet, HTML5 helps write once and deploy anywhere!</p>
In this course, you will learn all the new HTML5 features to help create great Web sites and applications in a simplified but powerful way. HTML5 provides native support for video and audio without plug-ins, provides support for offline applications, for games with smooth interactive animations, and much more.</p>",HTML5
ec,198,HTML5 Apps and Games,"Want to learn advanced HTML5 tips and techniques? This is the course for you! Find out more about the powerful Web features that will help you create great content and apps.</p>
This course is a natural follow up of <a href=""https://www.edx.org/course/html5-coding-essentials-and-best-practices"">HTML5 Coding Essentials and Good Practices</a>. In this course, we continue the exploration of HTML5-based APIs, but also introduce some advanced features related to HTML5, such as Web components, advanced multimedia, audio for music and games, etc.</p>
Like in the first course, you will learn by doing, study the interactive examples and have fun with proposed development projects. One of them will be to create an HTML5 game, so jump in and learn lots!</p>",HTML5
ec,215,Introduction to Management Information Systems (MIS): A Survival Guide,"This MIS course will cover supporting tech infrastructures (Cloud, Databases, Big Data), the MIS development/ procurement process, and the main integrated systems, ERPs, such as SAP®, Oracle® or Microsoft Dynamics Navision®, as well as their relationship with Business Process Redesign.</p>
Management Information Systems (MIS) are an integral part of today’s professional landscape. From customer relationship management (CRM) systems handling the day to day interactions with clients and prospects, to financial systems issuing invoices and paying bills, day to day working life is increasingly controlled by these systems that dictate what to do and how.</p>
This course will focus on what MIS are, how they influence your current or prospective jobs, why they impose specific - and sometimes seemingly absurd - operational procedures, and how to use this knowledge to your advantage in your professional life.</p>
Grasping the key concepts in MIS does not need to be daunting. We will use real world examples to illustrate key concepts, and strive to strike a proper balance between clarity / amenity and conceptual soundness. Join us on this stimulating journey that will allow you to better understand and perform in your current or desired job.</p>",Information Systems
ec,219,Intellectual Property Law and Policy: Part 1,"Can you really get a patent on a rectangular cell phone shape? Do artists and musicians need over a century of copyright protection for their works? Can you trademark red shoe soles? These are some of the questions that U.S. Congress and the courts have addressed in recent years — and in this IP course, we will, too.</p>
Touching on most areas of commercial and artistic activity, intellectual property (IP) law is an essential component of modern society. In this course, Part 1 of a two-part series, learners will be introduced to a broad overview of the intellectual property laws, the theory underpinning this area of law, and an individual look at patent law.</p>
<a href=""https://www.edx.org/course/intellectual-property-law-policy-part-2-pennx-iplaw1x"">Part 2</a> will explore copyright, and trademark law, and consider alternatives to IP and the future of this exciting area of the law.</p>
The focus of this two-part series is on learning some of the seminal legal cases in each area, while also considering the policy implications of the law as it stands.</p>
No previous law experience is required. Join us as we explore the laws and policies that influence and shape our modern lives.</p>",Intellectual Property Law
ec,220,Intellectual Property Law and Policy: Part 2,"In this course, Part 2 of a two-part series, students will explore the modern realities and debates of copyright and trademark laws, and then consider alternatives to intellectual property and the future of this exciting area of the law.</p>
The focus of this two-part series is on learning some of the seminal legal cases in each area, while also considering the policy implications of the law as it stands.</p>
No previous law experience is required. Join us as we explore the IP laws and policies that influence and shape our modern lives.</p>",Intellectual Property Law
ec,224,Innovation and IT Management,"Information Technology (IT) changes the manner and scope in which businesses operate and compete. Innovations in IT have led some businesses to flourish, while others have faltered due to massive changes brought by this industry. IT is notoriously hard to manage. The challenge of managing IT is ensuring that the intended changes and innovations are realized, and the unintended ones are kept under control. This course will cover basic concepts of information technology management.</p>
As part of this course you will:</p>
<ul>
<li>See some brief videos</li>
<li>Take pop quizzes</li>
<li>Analyse cases</li>
<li>Read relevant material</li>
<li>Take assessments.</li>
</ul>
This course is for you if you are:</p>
<ul>
<li>Using IT in your organisation</li>
<li>Building or are planning to build IT-enabled products or services</li>
<li>Exploring business innovations and want to know how IT can help</li>
<li>Interested in understanding how organisations manage IT for innovating.</li>
</ul>
This course is not overly technical. Detailed prior knowledge of computing technology is not required to take this course.</p>",IT Management
ec,225,IT Fundamentals for Business Professionals: Enterprise Systems,"This course is one of the 5 courses of an introductory business information systems series, designed to introduce you to the amazing world of Information Technology.<br /><br />The series of courses is designed so that a professional in a field outside the information technologies (financial, administrative or managerial) acquires the basic knowledge in Information Technology to be able to interact more profitably with the computer and telecommunications specialists of your company or other corporations with which you are related, being able to specify requirements, evaluate workloads and monitor results in a much more effective way.<br /><br />The syllabus of the series is based on the CLEP Information Systems and Computer Applications exam.<br /><br />In this course, you will learn the basic concepts of information systems and their application.<br /><br />By completing the series of 5 courses, you will be prepared to interact effectively with specialists in the Information Technology sector (and pass the CLEP ISCA exam if you wish",Information Systems
ec,227,IT Fundamentals for Business Professionals: Software development,"This course is one of the 5 courses of an introductory business information systems series, designed to introduce you to the amazing world of Information Technology.  </p>
The series of courses is designed so that a professional in a field outside the information technologies (financial, administrative or managerial) acquires the basic knowledge in Information Technology to be able to interact more profitably with the computer and telecommunications specialists of your company or other corporations with which you are related, being able to specify requirements, evaluate workloads and monitor results in a much more effective way.  </p>
The syllabus of the series is based on the CLEP Information Systems and Computer Applications exam.  </p>
In this course, you learn the basics of software project management, reviewing basic project management concepts and roles, system development lifecycle, tools and methods used in software development, standards. used in the development and the design of the user interface of a computer system.  </p>
By completing the series of 5 courses, you will be prepared to interact effectively with specialists in the Information Technology sector (and pass the CLEP ISCA exam if you wish).</p>",Software Development
ec,229,IT Fundamentals for Business Professionals: Cybersecurity and social implications,"This course is one of the 5 courses of an introductory business information systems series, designed to introduce you to the amazing world of Information Technology.</p>
The series of courses is designed so that a professional in a field outside the information technologies (financial, administrative or managerial) acquires the basic knowledge in Information Technology to be able to interact more profitably with the computer and telecommunications specialists of your company or other corporations with which you are related, being able to specify requirements, evaluate workloads and monitor results in a much more effective way.</p>
The syllabus of the series is based on the CLEP Information Systems and Computer Applications exam.</p>
In this Computer Science course we will deal with cybersecurity and various other social aspects of ICT, such as its effect on globalization, business strategy and other economic processes, ergonomics, cloud computing and professional&nbsp;careers in the field of ICT.</p>
By completing the series of 5 courses, you will be prepared to interact effectively with specialists in the Information Technology sector (and pass the CLEP ISCA exam if you wish).</p>",Cybersecurity Assessment
ec,230,Knowledge Management and Big Data in Business,"The business landscape is changing so rapidly that traditional management, business and computing courses do not meet the needs for the next generation of workers in the business world. Most traditional methods are of a repetitive, rule-based nature and will be gradually replaced by Artificial Intelligence. In the knowledge era, the most value added job will be to manage knowledge, which includes how knowledge is created, mined, processed, shared and reused in different trades and industry. At the same time, the amount of data and information (prerequisites of knowledge) is exploding exponentially. By 2020, IDC projects that the size of the digital universe will reach 40 zetabytes from all sources including, websites, weblog, sensors, and social media. Digitalisation, Cloud Computing, Big data will transform how we live, work and even think in a Networked Economy. These trends and more will have a profound effect on how we see the world and create policies. In this course, the following topics and more are covered:<br />
<ul>
<li>What is knowledge management?</li>
<li>How is knowledge captured, elicited, organized and created in business?</li>
<li>Managing knowledge at the enterprise, SMBs and personal levels</li>
<li>Digitalisation and its impact on the workplace, collaborations and new value creation</li>
<li>What is big data and how can we use data analytics from a laymen perspective?</li>
<li>What is Open Linked Data and how can it support machine reasoning?</li>
<li>How can new knowledge be mined from big data?</li>
<li>What are the technical and social problems with big data?</li>
</ul>
The Cloud as a canvas for service design and business model re-invention<br />What are examples of applications and case studies?<br /><br />The course is offered by the Knowledge Management and Innovation Research Center (KMIRC) of the Hong Kong Polytechnic University. Most of our research is company and industry based. Capabilities and competencies of the KMIRC are further strengthened by the international alliances it has formed with leading practitioners, many of which are regarded as members of the ""Hall of Fame"" in knowledge management, and renowned worldwide. The course is suitable for participants with a background in humanities, management, social science, physical science or engineering. No prior technical background is needed.",Big Data
ec,231,Introduction to Java Programming: Starting to code in Java,"In this introductory Java programming course, you will be introduced to powerful concepts such as functional abstraction, the object oriented programming (OOP) paradigm and Application Programming Interfaces (APIs). Examples and case studies will be provided so that you can implement simple programs on your own or collaborate with peers.</p>Emphasis is put on immediate feedback and on having a fun experience. Programming knowledge is not only useful to be able to program today&rsquo;s devices such as computers and smartphones. It also opens the door to computational thinking, i.e. the application of computing techniques to every-day processes.</p>This edition is an improved version of the course released in April 2015.</p>",Java
ec,232,Introduction to Java Programming: Writing Good Code,"This is an introductory course to learn programming with Java designed to teach how to code good programs in Java, understanding “good” as both correct and efficient. Basic principles of software engineering will be introduced to make it easier for our future self and others to reuse code. Ethical issues and the intellectual property of our programs will also be addressed in the last part of this course. Examples and case studies will be provided, so that learners can implement simple but increasingly complex programs in Java.</p>
Emphasis is put on immediate feedback and on having a fun experience. Programming knowledge is not only useful to be able to program today’s devices such as computers and smartphones. It also opens the door to computational thinking, i.e. the application of computing techniques to every-day processes.</p>
This course is designed taking into account the subset and recommendations of the College Board in order to prepare learners for the Advanced Placement (AP) Computer Science A exam..</p>",Java
